code,bin,name,region
0301,141140001150, ДГД по Акмолинской области ,АКМОЛИНСКАЯ область
0302,940540000528, УГД по Аккольскому району ,АКМОЛИНСКАЯ область
0303,000140001813, УГД по Астраханскому району ,АКМОЛИНСКАЯ область
0304,940640000492, УГД по Атбасарскому району ,АКМОЛИНСКАЯ область
0305,050340004626, УГД по Сандыктаускому району ,АКМОЛИНСКАЯ область
0306,991240001567, УГД по Аршалынскому району ,АКМОЛИНСКАЯ область
0307,950340000572, УГД по Ерейментаускому району ,АКМОЛИНСКАЯ область
0308,961140000232, УГД по Егиндыкольскому району ,АКМОЛИНСКАЯ область
0309,021140002283, УГД по Коргалжынскому району .,АКМОЛИНСКАЯ область
0310,900440000031, УГД по Буландынскому району ,АКМОЛИНСКАЯ область
0312,910940000071, УГД по Целиноградскому району ,АКМОЛИНСКАЯ область
0313,900440000051, УГД по Шортандинскому району ,АКМОЛИНСКАЯ область
0316,021140002134, УГД по г.Степногорску ,АКМОЛИНСКАЯ область
0317,961240001086, УГД по Жаркаинскому району ,АКМОЛИНСКАЯ область
0318,961240001036, УГД по Есильскому району ,АКМОЛИНСКАЯ область
0321,961240001016, УГД по Жаксынскому району ,АКМОЛИНСКАЯ область
0323,980740001213, УГД по Зерендинскому району ,АКМОЛИНСКАЯ область
0324,980740001362, УГД по Бурабайскому району ,АКМОЛИНСКАЯ область
0325,980740001322,УГД по району Биржан сал ,АКМОЛИНСКАЯ область
0326,090440004151, УГД по г.Кокшетау ,АКМОЛИНСКАЯ область
0327,211040037321, УГД по г. Косшы,АКМОЛИНСКАЯ область
0601,141140000836, ДГД по Актюбинской области ,АКТЮБИНСКАЯ область
0604,980540000991, УГД по Алгинскому району ,АКТЮБИНСКАЯ область
0605,970140000975, УГД по Байганинскому району ,АКТЮБИНСКАЯ область
0606,980540000971, УГД по Айтекебийскому району ,АКТЮБИНСКАЯ область
0607,980640000955, УГД по Иргизскому району ,АКТЮБИНСКАЯ область
0609,970240000890, УГД по Каргалинскому району ,АКТЮБИНСКАЯ область
0610,980540001018, УГД по Мартукскому району ,АКТЮБИНСКАЯ область
0612,971040000994, УГД по Мугалжарскому району ,АКТЮБИНСКАЯ область
0613,970140000985, УГД по Темирскому району ,АКТЮБИНСКАЯ область
0614,980640000995, УГД по Уилскому району ,АКТЮБИНСКАЯ область
0615,961240000860, УГД по Хобдинскому району ,АКТЮБИНСКАЯ область
0616,980640000975, УГД по Хромтаускому району ,АКТЮБИНСКАЯ область
0617,980640000915, УГД по Шалкарскому району ,АКТЮБИНСКАЯ область
0618,940740000595, УГД по г.Актобе ,АКТЮБИНСКАЯ область
0901,141140000549,ДГД по Алматинской области ,АЛМАТИНСКАЯ область
0902,020740001571, УГД по Балхашскому району ,АЛМАТИНСКАЯ область
0903,920140000232, УГД по Жамбылскому району ,АЛМАТИНСКАЯ область
0904,020740001600, УГД по Илийскому району ,АЛМАТИНСКАЯ область
0905,900340000058, УГД по Карасайскому району ,АЛМАТИНСКАЯ область
0908,020740001620, УГД по Райымбекскому району ,АЛМАТИНСКАЯ область
0909,900540000065, УГД по Талгарскому району ,АЛМАТИНСКАЯ область
0910,950140000624, УГД по Уйгурскому району ,АЛМАТИНСКАЯ область
0912,020740001757, УГД по Енбекшиказахскому району ,АЛМАТИНСКАЯ область
0913,940340000273, УГД по г.Капшагай ,АЛМАТИНСКАЯ область
0924,180840003632,УГД по Кегенскому району ,АЛМАТИНСКАЯ область
1501,141140002664, ДГД по Атырауской области ,АТЫРАУСКАЯ область
1503,950240000648, УГД по Курмангазинскому району  .,АТЫРАУСКАЯ область
1504,940740000614, УГД по Индерскому району  ,АТЫРАУСКАЯ область
1505,920440000352, УГД по Исатайскому району  ,АТЫРАУСКАЯ область
1506,961240000992, УГД по Кызылкугинскому району  ,АТЫРАУСКАЯ область
1507,970240000979, УГД по Макатскому району  ,АТЫРАУСКАЯ область
1508,910840000107, УГД по Махамбетскому району  ,АТЫРАУСКАЯ область
1509,931040000104, УГД по Жылыойскому району  ,АТЫРАУСКАЯ область
1510,090440011223, УГД по г.Атырау  ,АТЫРАУСКАЯ область
1801,141140001140, ДГД по Восточно-Казахстанской области ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1802,990840001328, УГД по Катон-Карагайскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1803,991040001551, УГД по Глубоковскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1804,991240001498, УГД по Зайсанскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1806,991040001563, УГД по Курчумскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1810,990840001318, УГД по Тарбагатайскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1811,990940001212, УГД по Уланскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1812,991140001781, УГД по Шемонаихинскому району  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1813,000840001333, УГД по Зыряновскому району-г.Зыряновску  ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1814,980340001050, УГД по г.Риддер,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1816,991040001526, УГД по г.Усть-Каменогорск ,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
1824,220740045139,УГД по району Самар,ВОСТОЧНО-КАЗАХСТАНСКАЯ область
2101,141140002347, ДГД по Жамбылской области ,ЖАМБЫЛСКАЯ область
2102,910940000091, УГД по Жамбылскому району ,ЖАМБЫЛСКАЯ область
2103,910940000081, УГД по Жуалынскому району ,ЖАМБЫЛСКАЯ область
2104,990740001453, УГД по Кордайскому району ,ЖАМБЫЛСКАЯ область
2105,930640000331, УГД по району имени Турара Рыскулова,ЖАМБЫЛСКАЯ область
2106,960540000294, УГД по Меркенскому району ,ЖАМБЫЛСКАЯ область
2107,900740000062, УГД по Мойынкумскому району ,ЖАМБЫЛСКАЯ область
2108,960540000303, УГД по Сарысускому району ,ЖАМБЫЛСКАЯ область
2109,961040000685, УГД по Байзакскому району ,ЖАМБЫЛСКАЯ область
2110,990640001380, УГД по Таласскому району ,ЖАМБЫЛСКАЯ область
2111,960140000468, УГД по Шускому району ,ЖАМБЫЛСКАЯ область
2115,090440007304, УГД по г.Тараз ,ЖАМБЫЛСКАЯ область
2701,141140001517, ДГД по Западно-Казахстанской области ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2703,940740000624, УГД по Бурлинскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2704,991140001860, УГД по Жанибекскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2705,950140000644, УГД по Жангалинскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2707,931240000449, УГД по Зеленовскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2708,940140000533, УГД по Казталовскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2709,940540000469, УГД по Каратюбинскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2711,950440000615, УГД по Сырымскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2712,940540000518, УГД по Таскалинскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2714,941040000522, УГД по Теректинскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2715,950440000625, УГД по Бокейординскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2716,941240000669, УГД по Акжаикскому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2717,941240000659, УГД по Чингирлаускому району ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
2718,090440011898, УГД по г.Уральск ,ЗАПАДНО-КАЗАХСТАНСКАЯ область
3001,141140001329, ДГД по Карагандинской области ,КАРАГАНДИНСКАЯ область
3002,980640000886, УГД по Абайскому району,КАРАГАНДИНСКАЯ область
3004,900640000089, УГД по г.Караганда ,КАРАГАНДИНСКАЯ область
3005,950540000400, УГД по Каркаралинскому району ,КАРАГАНДИНСКАЯ область
3008,950140000634, УГД по Нуринскому району ,КАРАГАНДИНСКАЯ область
3009,950540000440, УГД по Осакаровскому району ,КАРАГАНДИНСКАЯ область
3010,941240000649, УГД по г.Сарань ,КАРАГАНДИНСКАЯ область
3012,950540000371, УГД по г.Темиртау ,КАРАГАНДИНСКАЯ область
3013,950540000351, УГД по Бухар-Жыраускому району ,КАРАГАНДИНСКАЯ область
3014,981240000953, УГД по г.Шахтинску ,КАРАГАНДИНСКАЯ область
3019,980940001111, УГД по Октябрьскому району ,КАРАГАНДИНСКАЯ область
3020,950740000498, УГД по району имени Казыбек би ,КАРАГАНДИНСКАЯ область
3021,900640000099, УГД по Актогайскому району ,КАРАГАНДИНСКАЯ область
3024,900540000055, УГД по Шетскому району ,КАРАГАНДИНСКАЯ область
3025,900540000035, УГД по г.Балхаш ,КАРАГАНДИНСКАЯ область
3027,900540000045, УГД по г.Приозерск ,КАРАГАНДИНСКАЯ область
3301,141140001775, ДГД по Кызылординской области ,КЫЗЫЛОРДИНСКАЯ область
3302,980740001154, УГД по Аральскому району ,КЫЗЫЛОРДИНСКАЯ область
3303,941240000699, УГД по Казалинскому району ,КЫЗЫЛОРДИНСКАЯ область
3304,961040000467, УГД по Кармакшинскому району ,КЫЗЫЛОРДИНСКАЯ область
3305,940640000472, УГД по Жалагашскому району ,КЫЗЫЛОРДИНСКАЯ область
3306,961040000665, УГД по Сырдарьинскому району ,КЫЗЫЛОРДИНСКАЯ область
3308,961040000615, УГД по Шиелийскому району ,КЫЗЫЛОРДИНСКАЯ область
3309,961040000635, УГД по Жанакорганскому району ,КЫЗЫЛОРДИНСКАЯ область
3310,090440021657, УГД по г.Кызылорда ,КЫЗЫЛОРДИНСКАЯ область
3901,141140001229, ДГД по Костанайской области ,КОСТАНАЙСКАЯ область
3902,960740000477, УГД по Алтынсаринскому району ,КОСТАНАЙСКАЯ область
3903,960440000469, УГД по Мендыкаринскому району ,КОСТАНАЙСКАЯ область
3904,960440000489, УГД по Житикаринскому району ,КОСТАНАЙСКАЯ область
3905,970840000831," УГД по Камыстинскому району  """,КОСТАНАЙСКАЯ область
3906,970140001031, УГД по Карасускому району ,КОСТАНАЙСКАЯ область
3907,960440000439, УГД по Карабалыкскому району ,КОСТАНАЙСКАЯ область
3908,960440000409, УГД по Костанайскому району ,КОСТАНАЙСКАЯ область
3909,021140002085, УГД по Узункольскому району ,КОСТАНАЙСКАЯ область
3910,960740000453, УГД по Наурзумскому району ,КОСТАНАЙСКАЯ область
3911,970140001100, УГД по Денисовскому району .,КОСТАНАЙСКАЯ область
3912,980840001306, УГД по Аулиекольскому району ,КОСТАНАЙСКАЯ область
3913,021140001999, УГД по Тарановскому району ,КОСТАНАЙСКАЯ область
3914,960440000419, УГД по Сарыкольскому району ,КОСТАНАЙСКАЯ область
3915,960440000429, УГД по Федоровскому району ,КОСТАНАЙСКАЯ область
3917,961040000576, УГД по г.Костанай ,КОСТАНАЙСКАЯ область
3918,970440000430, УГД по г.Лисаковску ,КОСТАНАЙСКАЯ область
3919,970840000811, УГД по г.Рудному ,КОСТАНАЙСКАЯ область
3920,941240000679, УГД по Амангельдинскому району ,КОСТАНАЙСКАЯ область
3923,961240000979, УГД по Жангельдинскому району ,КОСТАНАЙСКАЯ область
3925,961240001006, УГД по г.Аркалыку ,КОСТАНАЙСКАЯ область
4301,900340000028, ДГД по Мангистауской области ,МАНГИСТАУСКАЯ область
4302,990640001291, УГД по Бейнеускому району ,МАНГИСТАУСКАЯ область
4303,990640001300, УГД по Каракиянскому району ,МАНГИСТАУСКАЯ область
4304,990640001281, УГД по Мангистаускому району ,МАНГИСТАУСКАЯ область
4305,990640001271, УГД по Тупкараганскому району ,МАНГИСТАУСКАЯ область
4306,120940010470, УГД по г.Актау ,МАНГИСТАУСКАЯ область
4307,990640001231, УГД по г.Жанаозен ,МАНГИСТАУСКАЯ область
4308,070940008327, УГД по Мунайлинскому району ,МАНГИСТАУСКАЯ область
4309,040140002670," УГД ""Морпорт Актау"" ",МАНГИСТАУСКАЯ область
4501,141140000456, ДГД по Павлодарской области ,ПАВЛОДАРСКАЯ область
4503,021140001929, УГД по Актогайскому району ,ПАВЛОДАРСКАЯ область
4504,980940001161, УГД по Баянаульскому району .,ПАВЛОДАРСКАЯ область
4505,980940001171," УГД по Железинскому району  """,ПАВЛОДАРСКАЯ область
4506,980940001131, УГД по Иртышскому району ,ПАВЛОДАРСКАЯ область
4507,980940001240, УГД по Качирскому району ,ПАВЛОДАРСКАЯ область
4508,980940001191, УГД по Лебяжинскому району ,ПАВЛОДАРСКАЯ область
4509,980940001210, УГД ПО МАЙСКОМУ РАЙОНУ ,ПАВЛОДАРСКАЯ область
4510,980940001200, УГД по Павлодарскому району ,ПАВЛОДАРСКАЯ область
4511,980940001151, УГД по Успенскому району ,ПАВЛОДАРСКАЯ область
4512,980940001181, УГД по Щербактинскому району ,ПАВЛОДАРСКАЯ область
4514,980940001141, УГД по г.Аксу ,ПАВЛОДАРСКАЯ область
4515,980940001220, УГД по г.Павлодар ,ПАВЛОДАРСКАЯ область
4516,980940001230, НУ по г.Экибастузу ,ПАВЛОДАРСКАЯ область
4801,141140001051, ДГД по Северо-Казахстанской области ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4802,980740001203, УГД по Кызылжарскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4803,980740001134, УГД по району имени Магжана Жумабаева ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4805,980740001312, УГД по Жамбылскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4806,980740001144, УГД по Есильскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4807,980740001114, УГД по Мамлютскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4810,980740001174, УГД по району Шал акына ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4811,980740001233, УГД по Аккайынскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4813,980740000364, УГД по Тимирязевскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4814,120940007261, УГД по г.Петропавловск ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4815,980740001302, УГД по Айыртаускому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4816,980740001223, УГД по Акжарскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4818,980740001243, УГД по Тайыншинскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4819,980740001263, УГД по Уалихановскому району ,СЕВЕРО-КАЗАХСТАНСКАЯ область
4820,980740001293, УГД по району имени Габита Мусрепова ,СЕВЕРО-КАЗАХСТАНСКАЯ область
5801,141140001205,ДГД по Туркестанской области ,ТУРКЕСТАНСКАЯ область
5802,021140001897, УГД по Байдибекскому району ,ТУРКЕСТАНСКАЯ область
5803,021040001777, УГД в по Ордабасинскому району ,ТУРКЕСТАНСКАЯ область
5805,021140002055, УГД по Отрарскому району ,ТУРКЕСТАНСКАЯ область
5808,021140002075, УГД по Казыгуртскому району ,ТУРКЕСТАНСКАЯ область
5809,990540001199, УГД по Толебийскому району ,ТУРКЕСТАНСКАЯ область
5810,021240002336, УГД по Мактаральскому району ,ТУРКЕСТАНСКАЯ область
5811,021140001959, УГД по Сайрамскому району ,ТУРКЕСТАНСКАЯ область
5812,021140001979, УГД по Сарыагашскому району ,ТУРКЕСТАНСКАЯ область
5813,021140001909, УГД по Сузакскому району ,ТУРКЕСТАНСКАЯ область
5815,021140001919, УГД по Тюлькубасскому району ,ТУРКЕСТАНСКАЯ область
5816,021140001969, УГД по Шардаринскому району ,ТУРКЕСТАНСКАЯ область
5817,021140001873, УГД по г.Арыс ,ТУРКЕСТАНСКАЯ область
5818,020840001515, УГД по г.Кентау ,ТУРКЕСТАНСКАЯ область
5820,021040001787, УГД по г.Туркестан  ,ТУРКЕСТАНСКАЯ область
5826,180840015606,УГД по  Жетысайскому району ,ТУРКЕСТАНСКАЯ область
5827,180840013401,УГД  по Келесскому району ,ТУРКЕСТАНСКАЯ область
5901,180840002049,ДГД по городу Шымкент ,г.Шымкент 
5902,051140003851,УГД «Оңтүстік» ,г.Шымкент 
5903,090440002968,УГД по Аль-Фарабийскому району ,г.Шымкент 
5904,090440002978,УГД по Абайскому району ,г.Шымкент 
5905,090440003074,УГД по Енбекшинскому району ,г.Шымкент 
5906,150740005302,УГД по Каратаускому району ,г.Шымкент 
5907,020840000587,УГД по г.Шымкент ,г.Шымкент 
6001,141140001547, ДГД по г.Алматы ,г.АЛМАТЫ
6003,910740000113, УГД по Ауэзовскому району,г.АЛМАТЫ
6004,910740000044, УГД по Бостандыкскому району,г.АЛМАТЫ
6005,910740000143, УГД по Жетысускому району,г.АЛМАТЫ
6007,910740000153, УГД по Алмалинскому району,г.АЛМАТЫ
6008,910740000133, УГД по Турксибскому району,г.АЛМАТЫ
6009,910740000123, УГД по Медеускому району,г.АЛМАТЫ
6006,040840002339," УГД ""Парк информационных технологий""",г.АЛМАТЫ
6010,091240012910, УГД по Алатаускому району,г.АЛМАТЫ
6011,150340016393, УГД по Наурызбайскому району ,г.АЛМАТЫ
6201,141040030110, ДГД по г.Астана,г.Астана
6202,981140001105, УГД по Алматинскому району ,г.Астана
6203,981140001115, УГД по Сарыаркинскому району  ,г.Астана
6205,081240013779, УГД по Есильскому району  ,г.Астана
6206,020440002422," УГД ""Астана-жаңа қала""  ",г.Астана
6207,180840019420,"УГД по району ""Байконыр""",г.Астана
7001,220740023277,ДГД по области Жетісу КГД МФ РК,
7002,990640001251,УГД по Аксускому району ,ДГД по области Жетісу КГД МФ РК
7003,000340001800,УГД по Алакольскому району ,ДГД по области Жетісу КГД МФ РК
7004,020740001551,УГД по Каратальскому району ,ДГД по области Жетісу КГД МФ РК
7005,020740001452,УГД по Кербулакскому району ,ДГД по области Жетісу КГД МФ РК
7006,080740008619,УГД по Коксускому району ,ДГД по области Жетісу КГД МФ РК
7007,990840001338,УГД по Панфиловскому району ,ДГД по области Жетісу КГД МФ РК
7008,991140001791,УГД по Сарканскому району ,ДГД по области Жетісу КГД МФ РК
7009,020740001581,УГД по Ескельдинскому району ,ДГД по области Жетісу КГД МФ РК
7010,090440000545,УГД по городу Талдыкоргану ,ДГД по области Жетісу КГД МФ РК
7011,020740001630,УГД по городу Текели ,ДГД по области Жетісу КГД МФ РК
7101,220740022685,ДГД по области Абай КГД МФ РК,
7102,991240001438,УГД по Абайскому району ,ДГД по области Абай КГД МФ РК
7103,990940001252,УГД по Аягозскому району ,ДГД по области Абай КГД МФ РК
7104,990840000944,УГД по Бескарагайскому району ,ДГД по области Абай КГД МФ РК
7105,990340000553,УГД по Бородулихинскому району ,ДГД по области Абай КГД МФ РК
7106,991040001514,УГД по Жарминскому району ,ДГД по области Абай КГД МФ РК
7107,991140000317,УГД по городу Курчатову ,ДГД по области Абай КГД МФ РК
7108,991140001810,УГД по Урджарскому району ,ДГД по области Абай КГД МФ РК
7109,991140001800,УГД по Кокпектинскому району  ,ДГД по области Абай КГД МФ РК
7110,220840002951,УГД по району Ақсуат  ,ДГД по области Абай КГД МФ РК
7111,990940001202,УГД по городу Семею ,ДГД по области Абай КГД МФ РК
7201,220740021210,ДГД по области Ұлытау КГД МФ РК,
7202,970140000955,УГД по Жанааркинскому району ,ДГД по области Ұлытау КГД МФ РК
7203,961240000890,УГД по Улытаускому району ,ДГД по области Ұлытау КГД МФ РК
7204,900540000015,УГД по городу Жезказгану ,ДГД по области Ұлытау КГД МФ РК
7205,970140000965,УГД по городу Каражалу ,ДГД по области Ұлытау КГД МФ РК
7206,031240002328,УГД по городу Сатпаеву ,ДГД по области Ұлытау КГД МФ РК